ToolingStock,ToolingType,ToolingSize,Description,ControlLimit,SpecLimit,StoreID,ToolingQty,UTLSite,ActiveFlag,UpdateBy,CreateBy,UpdateTime,CreateTime,Remark,EquipModel,PartNo
AB000047,ANVILBLOCK,5X6,AD8312FC,4999000,5000000,FR5177,15,UTL1,TRUE,PE UTL1,PE ULT1,22:53.2,51:20.1,,,
AB000048,ANVILBLOCK,5X6,AD832i Bond,4999000,5000000,FR5177,27,UTL1,TRUE,PE UTL1,PE ULT1,23:26.7,51:57.1,,,
AB000049,ANVILBLOCK,5X6,CB830 Bond,4999000,5000000,FR5177,30,UTL1,TRUE,PE UTL1,PE ULT1,24:06.9,55:08.2,,,
AB000050,ANVILBLOCK,5x5 STM,AD8312FC,4999000,5000000,FR5150,11,UTL1,TRUE,PE UTL1,PE ULT1,32:05.1,13:54.2,,,
AB000051,ANVILBLOCK,5X5 STM,CB_Bond,4999000,5000000,FR5150,10,UTL1,TRUE,PE UTL1,PE ULT1,32:20.4,14:49.0,,,
AB000052,ANVILBLOCK,5X5 STM,AD838_Bond,4999000,5000000,FR5150,11,UTL1,TRUE,PE UTL1,PE ULT1,32:37.7,15:28.6,,,
AB000053,ANVILBLOCK,5x6 39L,AD8312FC,4999000,5000000,FR5222/FR5224,36,UTL1,TRUE,PE UTL1,PE ULT1,15:35.7,09:00.3,,,
AB000054,ANVILBLOCK,5X6 39L,AD838_BOND,4999000,5000000,FR5222/FR5224,35,UTL1,TRUE,PE UTL1,PE ULT1,17:00.2,09:33.9,,,
AB000055,ANVILBLOCK,5x6 39L,CB830_BOND,4999000,5000000,FR5222/FR5224,32,UTL1,TRUE,PE UTL1,PE ULT1,17:32.7,10:01.6,,,
AB000056,ANVILBLOCK,4x5 25L,AD8312FC,4999000,5000000,FR5208/FR1579,2,UTL1,TRUE,PE UTL1,PE ULT1,25:44.7,03:11.3,,,
AB000057,ANVILBLOCK,4X5 25L,CB_Bond,4999000,5000000,FR5208/FR1579,5,UTL1,TRUE,PE UTL1,PE ULT1,25:11.2,03:49.6,,,
AB000058,ANVILBLOCK,4X5 25L,AD832i_Bond,4999000,5000000,FR5208/FR1579,6,UTL1,TRUE,PE UTL1,PE ULT1,26:24.8,04:24.7,,,
AB000059,ANVILBLOCK,5x5 VS0,AD8312FC,4999000,5000000,FR1634,30,UTL1,TRUE,PE UTL1,PE ULT1,31:12.2,57:55.0,,,
AB000060,ANVILBLOCK,5x5 VS0,AD832i_Bond,4999000,5000000,FR1634,25,UTL1,TRUE,PE UTL1,PE ULT1,32:47.5,58:42.7,,,
AB000061,ANVILBLOCK,5X5 VS0,CB_Bond,4999000,5000000,FR1634,28,UTL1,TRUE,PE UTL1,PE ULT1,31:39.6,59:30.8,,,
AB000062,ANVILBLOCK,5x5,test by Jack,150000,200000,AC1854,-7,UTL1,FALSE,,,49:48.7,49:48.7,,,10
AB000063,ANVILBLOCK,6x5,AD8312FC,4999000,5000000,FR5214,2,UTL1,TRUE,PE UTL1,PE ULT1,07:26.5,45:13.3,,,
AB000064,ANVILBLOCK,6X5,AD838 Disp,4999000,5000000,FR5214,2,UTL1,TRUE,PE UTL1,PE ULT1,07:51.3,45:46.7,,,
AB000065,ANVILBLOCK,6x5,CB830 Disp,4999000,5000000,FR5214,4,UTL1,TRUE,PE UTL1,PE ULT1,11:19.9,46:32.0,,,
AB000066,ANVILBLOCK,6X5 12L,AD8312FC,4999000,5000000,FR5216,2,UTL1,TRUE,PE UTL1,PE ULT1,00:31.4,19:02.4,,,
AB000067,ANVILBLOCK,6x5 12L,AD832i_Bond,4999000,5000000,FR5216,1,UTL1,TRUE,PE UTL1,PE ULT1,01:20.3,19:26.3,,,
AB000068,ANVILBLOCK,6x5 12L,CB_Bond,4999000,5000000,FR5216,1,UTL1,TRUE,PE UTL1,PE ULT1,02:04.5,19:51.0,,,
AB000069,ANVILBLOCK,4X5,AD8312FC,4999000,5000000,FR5230,6,UTL1,TRUE,PE UTL1,PE ULT1,11:35.9,50:18.6,,,
AB000070,ANVILBLOCK,4X5,AD832i_Dsp,4999000,5000000,FR5230,9,UTL1,TRUE,PE UTL1,PE ULT1,08:35.7,52:30.6,,,
AB000071,ANVILBLOCK,4x5,CB_Dsp,4999000,5000000,FR5230,5,UTL1,TRUE,PE UTL1,PE ULT1,16:57.4,53:57.6,,,
AB000072,ANVILBLOCK,5X5 32L,AD8312FC,4999000,5000000,FR5232,16,UTL1,TRUE,PE UTL1,PE ULT1,36:02.2,29:29.7,,,
AB000073,ANVILBLOCK,5X5 32L,AD832i_Bond,4999000,5000000,FR5232,17,UTL1,TRUE,PE UTL1,PE ULT1,36:45.4,31:28.5,,,
AB000074,ANVILBLOCK,5X5 32L,CB_Bond,4999000,5000000,FR5232,9,UTL1,TRUE,PE UTL1,PE ULT1,37:42.7,32:17.9,,,
AB000075,ANVILBLOCK,5x6 39L,AD8312FC,4999000,5000000,FRV001/FRV003,8,UTL1,TRUE,PE UTL1,PE ULT1,42:02.3,55:44.1,,,
AB000076,ANVILBLOCK,5x6 39L,AD832i BOND,4999000,5000000,FRV001/FRV003,10,UTL1,TRUE,PE UTL1,PE ULT1,40:51.4,57:14.1,,,
AB000077,ANVILBLOCK,5x6 39L,CB830_BOND,4999000,5000000,FRV001/FRV003,7,UTL1,TRUE,PE UTL1,PE ULT1,42:24.3,57:44.7,,,
AB000078,ANVILBLOCK,5x6 39L,CB830_DISP,4999000,5000000,FRV001/FRV003,5,UTL1,TRUE,PE UTL1,PE UTL1,42:35.0,20:28.1,,,
AB000079,ANVILBLOCK,5x6 39L,AD832i DISP,4999000,5000000,FRV001/FRV003,7,UTL1,TRUE,PE UTL1,PE UTL1,42:47.2,35:57.1,,,
AB000080,ANVILBLOCK,7x5 32L,AD838_Bond,4999000,5000000,FR5220,0,UTL1,TRUE,PE UTL1,PE UTL1,44:13.5,20:53.3,,,
AB000081,ANVILBLOCK,7x5 32L,CB_Bond,4999000,5000000,FR5220,0,UTL1,TRUE,PE UTL1,PE UTL1,17:14.6,21:44.4,,,
AB000082,ANVILBLOCK,5x8 34L,AD838_Bond,4999000,5000000,FR5219,0,UTL1,TRUE,PE UTL1,PE UTL1,21:49.9,50:06.5,,,
AB000083,ANVILBLOCK,5x8 34L,CB_Bond,4999000,5000000,FR5219,0,UTL1,TRUE,PE UTL1,PE UTL1,22:58.6,51:14.8,,,
AB000084,ANVILBLOCK,4x6 34L,AD8312FC,4999000,5000000,FR1699/FR1819,15,UTL1,TRUE,PE UTL1,PE UTL1,12:17.6,27:42.5,,,
AB000085,ANVILBLOCK,4x6 34L,AD832i_Bond,4999000,5000000,FR1699/FR1819,20,UTL1,TRUE,PE UTL1,PE UTL1,12:26.4,28:32.4,,,
AB000086,ANVILBLOCK,4x6 34L,CB_Bond,4999000,5000000,FR1699/FR1819,13,UTL1,TRUE,PE UTL1,PE UTL1,12:34.3,31:00.4,,,
AB000087,ANVILBLOCK,5X6 STM,AD8312FC,4999000,5000000,FR6130,0,UTL1,TRUE,PE UTL1,PE UTL1,58:26.3,46:18.2,,,
AB000088,ANVILBLOCK,5X6 STM,AD838_Bond,4999000,5000000,FR6130,0,UTL1,TRUE,PE UTL1,PE UTL1,11:57.5,47:38.2,,,
AB000089,ANVILBLOCK,5X6 STM,CB_Bond,4999000,5000000,FR6130,0,UTL1,TRUE,PE UTL1,PE UTL1,59:23.8,49:01.3,,,
AB000090,ANVILBLOCK,5X6 DFN,DIS (INFINITE),4995000,5000000,N/A,2,UTL2,TRUE,,PE UTL2,41:08.3,41:08.3,,,
AB000091,ANVILBLOCK,5X6 DFN,BOND (INFINITE),4995000,5000000,N/A,2,UTL2,TRUE,,PE UTL2,42:53.7,42:53.7,,,
AB000092,ANVILBLOCK,5X6 DFN,DIS (AD832i),4995000,5000000,N/A,1,UTL2,TRUE,,PE UTL2,44:24.5,44:24.5,,,
AB000093,ANVILBLOCK,5X6 DFN,BOND (AD832i),4995000,5000000,N/A,1,UTL2,TRUE,,PE UTL2,45:13.0,45:13.0,,,
AB000094,ANVILBLOCK,5X6 DFN,DIS (CB830 plus),4995000,5000000,N/A,1,UTL2,TRUE,PE UTL2,PE UTL2,47:40.1,46:54.6,,,
AB000095,ANVILBLOCK,5X6 DFN,BOND (CB830 plus),4995000,5000000,N/A,1,UTL2,TRUE,,PE UTL2,48:21.9,48:21.9,,,
AB000096,ANVILBLOCK,4X5 25L,AD8312FC,4999000,5000000,FR1645,2,UTL1,TRUE,PE UTL1,PE UTL1,05:49.0,40:58.6,,,
AB000097,ANVILBLOCK,4X5 25L,AD832i_Dsp,4999000,5000000,FR1645,2,UTL1,TRUE,PE UTL1,PE UTL1,26:12.0,41:54.2,,,
AB000098,ANVILBLOCK,4X5 25L,CB_Dsp,4999000,5000000,FR1645,2,UTL1,TRUE,PE UTL1,PE UTL1,06:16.4,42:36.3,,,
AB000099,ANVILBLOCK,3.3x3.3 8L,AD838_Bond,4999000,5000000,N/A,3,UTL1,TRUE,PE UTL1,PE UTL1,06:16.9,35:38.1,,,
AB000100,ANVILBLOCK,3.3x3.3 8L,CB830_Bond,4999000,5000000,N/A,2,UTL1,TRUE,PE UTL1,PE UTL1,06:26.7,43:13.0,,,
AB000101,ANVILBLOCK,4X5,CB_Dsp,4999000,5000000,FR1760,0,UTL1,TRUE,PE UTL1,PE UTL1,06:38.8,30:30.0,,,
AB000102,ANVILBLOCK,4X5,AD8312FC,4999000,5000000,FR1760,0,UTL1,TRUE,PE UTL1,PE UTL1,02:18.6,11:49.0,,,
AB000103,ANVILBLOCK,4X5,AD832i_Dsp,4999000,5000000,FR1760,0,UTL1,TRUE,PE UTL1,PE UTL1,02:49.4,12:54.6,,,
AB000104,ANVILBLOCK,4x5,AD8312FC,4999000,5000000,FR1805,1,UTL1,TRUE,PE UTL1,PE UTL1,07:33.2,37:05.0,,,
AB000105,ANVILBLOCK,4x5,AD832i_Dsp,4999000,5000000,FR1805,0,UTL1,TRUE,PE UTL1,PE UTL1,08:52.7,38:30.3,,,
AB000106,ANVILBLOCK,4x5,CB_Dsp,4999000,5000000,FR1805,1,UTL1,TRUE,PE UTL1,PE UTL1,13:58.8,39:33.1,,,
AB000107,ANVILBLOCK,6x4,AD8312FC,4999000,5000000,FR5076,0,UTL1,FALSE,,PE UTL1,06:19.3,06:19.3,,,
AB000108,ANVILBLOCK,6x4,AD838 DISP,4999000,5000000,FR5076,0,UTL1,FALSE,,PE UTL1,09:16.7,09:16.7,,,
AB000109,ANVILBLOCK,6x4,AD838 BOND,4999000,5000000,FR5076,0,UTL1,FALSE,,PE UTL1,10:50.1,10:50.1,,,
AB000110,ANVILBLOCK,6x4,CB830 DISP,4999000,5000000,FR5076,0,UTL1,FALSE,,PE UTL1,13:33.7,13:33.7,,,
AB000111,ANVILBLOCK,6x4,CB830 BOND,4999000,5000000,FR5076,0,UTL1,FALSE,,PE UTL1,14:13.4,14:13.4,,,
AB000112,ANVILBLOCK,6x4 36L,AD838 Disp,4999000,5000000,FR5076,0,UTL1,TRUE,PE UTL1,PE UTL1,20:42.4,13:32.9,,,
AB000113,ANVILBLOCK,6x4 36L,CB830 Disp,4999000,5000000,FR5076,0,UTL1,TRUE,PE UTL1,PE UTL1,20:52.5,18:15.2,,,
AB000114,ANVILBLOCK,6x4 36L,AD832i Bond,4999000,5000000,FR5076,0,UTL1,TRUE,PE UTL1,PE UTL1,21:01.1,22:56.1,,,
AB000115,ANVILBLOCK,6x4 36L,AD832i Disp,4999000,5000000,FR5076,0,UTL1,TRUE,PE UTL1,PE UTL1,21:41.4,24:39.6,,,
AB000116,ANVILBLOCK,5x5 31L,AD838_Dsp,4999000,5000000,FR5157/FR1560,24,UTL1,TRUE,PE UTL1,PE UTL1,04:32.1,20:12.5,,,
AB000117,ANVILBLOCK,5x5 31L,AD832i_Dsp,4999000,5000000,FR5157/FR1560,15,UTL1,TRUE,PE UTL1,PE UTL1,04:22.1,33:14.4,,,
AB000118,ANVILBLOCK,5x5 31L,AD832i_Bond,4999000,5000000,FR5157/FR1560,15,UTL1,TRUE,PE UTL1,PE UTL1,04:10.0,35:32.6,,,
AB000119,ANVILBLOCK,5x5 31L,CB830 Disp,4999000,5000000,FR5157,0,UTL1,FALSE,,PE UTL1,39:13.9,39:13.9,,,
AB000120,ANVILBLOCK,5x4 18L,AD832i_Dsp,4999000,5000000,FR5079,3,UTL1,TRUE,PE UTL1,PE UTL1,44:07.0,39:24.1,,,
AB000121,ANVILBLOCK,5x4 18L,CB_Dsp,4999000,5000000,FR5079,6,UTL1,TRUE,PE UTL1,PE UTL1,44:25.7,42:15.8,,,
AB000122,ANVILBLOCK,5x4 18L,AD838_Dsp,4999000,5000000,FR5079,3,UTL1,TRUE,PE UTL1,PE UTL1,46:51.2,21:02.7,,,
AB000123,ANVILBLOCK,5x4 18L,AD838_Bond,4999000,5000000,FR5079,3,UTL1,TRUE,PE UTL1,PE UTL1,47:11.3,22:04.3,,,
AB000124,ANVILBLOCK,6x5 12L,AD832i Disp,4999000,5000000,FR5078,3,UTL1,TRUE,PE UTL1,PE UTL1,23:28.7,03:31.8,,,
AB000125,ANVILBLOCK,6x5 12L,CB830 Disp,4999000,5000000,FR5078,8,UTL1,TRUE,PE UTL1,PE UTL1,23:46.1,05:27.1,,,
AB000126,ANVILBLOCK,6X5 12L,AD838 Disp,4999000,5000000,FR5078,2,UTL1,TRUE,PE UTL1,PE UTL1,24:05.9,36:27.3,,,
AB000127,ANVILBLOCK,6x5 12L,AD838 Bond,4999000,5000000,FR5078,2,UTL1,TRUE,PE UTL1,PE UTL1,24:22.9,37:37.5,,,
AB000128,ANVILBLOCK,5x6 41L,AD832i Disp,4999000,5000000,FR5077,8,UTL1,TRUE,PE UTL1,PE UTL1,19:18.4,31:55.7,,,
AB000129,ANVILBLOCK,5x6 41L,CB830 Disp,4999000,5000000,FR5077,9,UTL1,TRUE,PE UTL1,PE UTL1,19:32.7,33:54.6,,,
AB000130,ANVILBLOCK,5x6 41L,AD838 Disp,4999000,5000000,FR5077,3,UTL1,TRUE,PE UTL1,PE UTL1,19:49.8,35:47.6,,,
AB000131,ANVILBLOCK,5x6 41L,AD838 Bond,4999000,5000000,FR5077,4,UTL1,TRUE,PE UTL1,PE UTL1,20:01.3,37:23.0,,,
AB000132,ANVILBLOCK,5x6 ,AD832i Disp,4999000,5000000,FR5177,14,UTL1,TRUE,,PE UTL1,26:09.9,26:09.9,,,
AB000133,ANVILBLOCK,5x6,CB830 Disp,4999000,5000000,FR5177,14,UTL1,TRUE,,PE UTL1,27:42.3,27:42.3,,,
AB000134,ANVILBLOCK,5x6,AD838 Disp,4999000,5000000,FR5177,1,UTL1,TRUE,,PE UTL1,28:48.8,28:48.8,,,
AB000135,ANVILBLOCK,5x6,AD838 Bond,4999000,5000000,FR5177,1,UTL1,TRUE,,PE UTL1,30:41.0,30:41.0,,,
AB000136,ANVILBLOCK,4.5x3.5,CB_Disp,4999000,5000000,FR5148,2,UTL1,TRUE,,PE UTL1,47:34.2,47:34.2,,,
AB000137,ANVILBLOCK,4.5x3.5,AD832i_Disp,4999000,5000000,FR5148,1,UTL1,TRUE,,PE UTL1,49:16.2,49:16.2,,,
AB000138,ANVILBLOCK,4.5x3.5,AD838_Disp,4999000,5000000,FR5148,1,UTL1,TRUE,,PE UTL1,51:05.2,51:05.2,,,
AB000139,ANVILBLOCK,4.5x3.5,AD838_Bond,4999000,5000000,FR5148,1,UTL1,TRUE,,PE UTL1,52:17.2,52:17.2,,,
AB000140,ANVILBLOCK,4.5x3.5,AD832i_Disp,4999000,5000000,FR5155,1,UTL1,TRUE,,PE UTL1,13:50.1,13:50.1,,,
AB000141,ANVILBLOCK,4.5x3.5,CB_Disp,4999000,5000000,FR5155,2,UTL1,TRUE,,PE UTL1,15:40.3,15:40.3,,,
AB000142,ANVILBLOCK,4.5x3.5,AD838_Disp,4999000,5000000,FR5155,1,UTL1,TRUE,,PE UTL1,16:52.4,16:52.4,,,
AB000143,ANVILBLOCK,4.5x3.5,AD838_Bond,4999000,5000000,FR5155,1,UTL1,TRUE,,PE UTL1,17:56.0,17:56.0,,,
AB000144,ANVILBLOCK,3.5x4.5,AD838_Bond,4999000,5000000,FR5154,0,UTL1,TRUE,,PE UTL1,55:25.5,55:25.5,,,
AB000145,ANVILBLOCK,3.5x4.5,CB830_Disp,4999000,5000000,FR5154,6,UTL1,TRUE,,PE UTL1,57:16.4,57:16.4,,,
AB000146,ANVILBLOCK,3.5x4.5,AD832i_Disp,4999000,5000000,FR5154,4,UTL1,TRUE,,PE UTL1,58:27.6,58:27.6,,,
AB000147,ANVILBLOCK,3.5x4.5,AD838_Disp,4999000,5000000,FR5154,0,UTL1,TRUE,,PE UTL1,59:37.3,59:37.3,,,
AB000148,ANVILBLOCK,5x7 40L,AD838_Bond,4999000,5000000,FR5175/FR5176,1,UTL1,TRUE,PE UTL1,PE UTL1,07:27.4,28:00.6,,,
AB000149,ANVILBLOCK,5x7 40L,CB830_Disp,4999000,5000000,FR5175/FR5176,3,UTL1,TRUE,PE UTL1,PE UTL1,07:41.4,29:34.3,,,
AB000150,ANVILBLOCK,5x7 40L,AD832i_Disp,4999000,5000000,FR5175/FR5176,2,UTL1,TRUE,PE UTL1,PE UTL1,07:53.3,30:40.7,,,
AB000151,ANVILBLOCK,5x7 40L,AD838_Disp,4999000,5000000,FR5175/FR5176,1,UTL1,TRUE,PE UTL1,PE UTL1,08:07.1,31:42.2,,,
AB000152,ANVILBLOCK,5x4,AD832i_Disp,4999000,5000000,FR5205,0,UTL1,TRUE,,PE UTL1,06:42.8,06:42.8,,,
AB000153,ANVILBLOCK,5x4,CB830_Disp,4999000,5000000,FR5205,0,UTL1,TRUE,,PE UTL1,08:00.6,08:00.6,,,
AB000154,ANVILBLOCK,5x4,AD838_Disp,4999000,5000000,FR5205,0,UTL1,TRUE,,PE UTL1,09:06.6,09:06.6,,,
AB000155,ANVILBLOCK,5x4,AD838_Bond,4999000,5000000,FR5205,0,UTL1,TRUE,,PE UTL1,10:13.3,10:13.3,,,
AB000156,ANVILBLOCK,5x5 32L,AD838_Bond,4999000,5000000,FR5209,3,UTL1,TRUE,,PE UTL1,33:21.8,33:21.8,,,
AB000157,ANVILBLOCK,5x5 32L,AD832i_Dsp,4999000,5000000,FR5209,12,UTL1,TRUE,PE UTL1,PE UTL1,13:42.3,34:47.4,,,
AB000158,ANVILBLOCK,5x5 32L,CB_Dsp,4999000,5000000,FR5209,6,UTL1,TRUE,PE UTL1,PE UTL1,13:59.8,36:01.0,,,
AB000159,ANVILBLOCK,5x5 32L,AD838_Dsp,4999000,5000000,FR5209,3,UTL1,TRUE,PE UTL1,PE UTL1,14:31.0,37:06.9,,,
AB000160,ANVILBLOCK,5x6 39L,AD838_BOND,4999000,5000000,FR5202/FR5210,6,UTL1,TRUE,,PE UTL1,21:49.4,21:49.4,,,
AB000161,ANVILBLOCK,5x6 39L,AD832i_Disp,4999000,5000000,FR5202/FR5210,11,UTL1,TRUE,,PE UTL1,24:07.2,24:07.2,,,
AB000162,ANVILBLOCK,5x6 39L,CB830_Disp,4999000,5000000,FR5202/FR5210,7,UTL1,TRUE,,PE UTL1,25:35.2,25:35.2,,,
AB000163,ANVILBLOCK,5x6 39L,AD838_Disp,4999000,5000000,FR5202/FR5210,4,UTL1,TRUE,,PE UTL1,26:52.2,26:52.2,,,
AB000164,ANVILBLOCK,5x5 STM,AD838_Dsp,4999000,5000000,FR5150,1,UTL1,TRUE,PE UTL1,PE UTL1,35:47.5,48:50.4,,,
AB000165,ANVILBLOCK,5x5 STM,CB_Dsp,4999000,5000000,FR5150,1,UTL1,TRUE,PE UTL1,PE UTL1,35:59.1,49:58.5,,,
AB000166,ANVILBLOCK,5x5 31L,ONS AD832i_DISP,4999000,5000000,FR5157/FR1560,0,UTL1,FALSE,,PE UTL1,06:04.0,06:04.0,,,
AB000167,ANVILBLOCK,5x5 31L,ONS AD832i_BOND,4999000,5000000,FR5157/FR1560,0,UTL1,FALSE,,PE UTL1,10:48.3,10:48.3,,,
AB000168,ANVILBLOCK,5x5 31L,CB_Dsp,4999000,5000000,FR5157/FR1560,27,UTL1,TRUE,PE UTL1,PE UTL1,03:59.2,12:55.4,,,
AB000169,ANVILBLOCK,5x5 31L,ONS AD838_DISP,4999000,5000000,FR5157/FR1560,0,UTL1,FALSE,,PE UTL1,14:38.9,14:38.9,,,
AB000170,ANVILBLOCK,5x6 39L,AD838_Disp,4999000,5000000,FR5222/FR5224,7,UTL1,TRUE,,PE UTL1,22:00.4,22:00.4,,,
AB000171,ANVILBLOCK,5x6 39L,CB830_Disp,4999000,5000000,FR5222/FR5224,9,UTL1,TRUE,,PE UTL1,23:16.1,23:16.1,,,
AB000172,ANVILBLOCK,5x6 39L,AD832i_BOND,4999000,5000000,FR5222/FR5224,6,UTL1,TRUE,,PE UTL1,27:46.8,27:46.8,,,
AB000173,ANVILBLOCK,5x6 39L,AD832i_Disp,4999000,5000000,FR5222/FR5224,6,UTL1,TRUE,,PE UTL1,30:32.2,30:32.2,,,
AB000174,ANVILBLOCK,5x5 VS0,AD832i_Dsp,4999000,5000000,FR1634,5,UTL1,TRUE,PE UTL1,PE UTL1,31:49.7,14:12.8,,,
AB000175,ANVILBLOCK,5x5 VS0,CB_Dsp,4999000,5000000,FR1634,9,UTL1,TRUE,PE UTL1,PE UTL1,31:58.1,15:52.1,,,
AB000176,ANVILBLOCK,5x5 VS0,AD838_Dsp,4999000,5000000,FR1634,1,UTL1,TRUE,PE UTL1,PE UTL1,32:07.2,17:09.6,,,
AB000177,ANVILBLOCK,5x5 VS0,AD838_Bond,4999000,5000000,FR1634,1,UTL1,TRUE,PE UTL1,PE UTL1,32:17.6,18:43.9,,,
AB000178,ANVILBLOCK,5x6 39L,AD838_DISP,4999000,5000000,FRV001,5,UTL1,TRUE,PE UTL1,PE UTL1,43:17.3,36:58.6,,,
AB000179,ANVILBLOCK,5x6 39L,AD838_BOND,4999000,5000000,FRV001,4,UTL1,TRUE,PE UTL1,PE UTL1,43:06.4,38:26.4,,,
AB000180,ANVILBLOCK,4x5 25L,AD838_Bond,4999000,5000000,FR5208/FR1579,1,UTL1,TRUE,,PE UTL1,28:08.4,28:08.4,,,
AB000181,ANVILBLOCK,4x5 25L,CB_Disp,4999000,5000000,FR5208/FR1579,3,UTL1,TRUE,,PE UTL1,30:13.9,30:13.9,,,
AB000182,ANVILBLOCK,4x5 25L,AD832i_Disp,4999000,5000000,FR5208/FR1579,5,UTL1,TRUE,,PE UTL1,31:37.2,31:37.2,,,
AB000183,ANVILBLOCK,4x5 25L,AD838_Disp,4999000,5000000,FR5208/FR1579,1,UTL1,TRUE,,PE UTL1,32:46.1,32:46.1,,,
AB000184,ANVILBLOCK,6x5 12L,AD838_Bond,4999000,5000000,FR5216,0,UTL1,TRUE,,PE UTL1,05:47.6,05:47.6,,,
AB000185,ANVILBLOCK,6x5 12L,AD832i_Disp,4999000,5000000,FR5216,0,UTL1,TRUE,,PE UTL1,07:34.4,07:34.4,,,
AB000186,ANVILBLOCK,6x5 12L,CB_Disp,4999000,5000000,FR5216,0,UTL1,TRUE,,PE UTL1,10:28.0,10:28.0,,,
AB000187,ANVILBLOCK,6x5 12L,AD838_Disp,4999000,5000000,FR5216,0,UTL1,TRUE,,PE UTL1,11:42.4,11:42.4,,,
AB000188,ANVILBLOCK,5x5 32L,AD838_Bond,4999000,5000000,FR5232,0,UTL1,TRUE,,PE UTL1,39:16.5,39:16.5,,,
AB000189,ANVILBLOCK,5x5 32L,AD832i_Dsp,4999000,5000000,FR5232,1,UTL1,TRUE,PE UTL1,PE UTL1,29:39.6,41:22.7,,,
AB000190,ANVILBLOCK,5x5 32L,CB_Disp,4999000,5000000,FR5232,0,UTL1,TRUE,,PE UTL1,44:05.2,44:05.2,,,
AB000191,ANVILBLOCK,5x5 32L,AD838_Disp,4999000,5000000,FR5232,0,UTL1,TRUE,,PE UTL1,45:28.7,45:28.7,,,
AB000192,ANVILBLOCK,7x5 32L,AD832i_Disp,4999000,5000000,FR5220,0,UTL1,TRUE,,PE UTL1,20:50.8,20:50.8,,,
AB000193,ANVILBLOCK,7x5 32L,CB_Disp,4999000,5000000,FR5220,0,UTL1,TRUE,,PE UTL1,21:57.6,21:57.6,,,
AB000194,ANVILBLOCK,7x5 32L,AD832i_Bond,4999000,5000000,FR5220,0,UTL1,TRUE,PE UTL1,PE UTL1,44:50.1,24:51.5,,,
AB000195,ANVILBLOCK,7x5 32L,AD838_Disp,4999000,5000000,FR5220,0,UTL1,TRUE,,PE UTL1,25:54.3,25:54.3,,,
AB000196,ANVILBLOCK,4x6 34L,AD838_Bond,4999000,5000000,FR1699/FR1819,5,UTL1,TRUE,PE UTL1,PE UTL1,12:42.4,44:39.4,,,
AB000197,ANVILBLOCK,4x6 34L,AD832i_Disp,4999000,5000000,FR1699/FR1819,17,UTL1,TRUE,PE UTL1,PE UTL1,12:51.4,46:40.4,,,
AB000198,ANVILBLOCK,4x6 34L,CB_Disp,4999000,5000000,FR1699/FR1819,9,UTL1,TRUE,PE UTL1,PE UTL1,12:59.7,47:48.0,,,
AB000199,ANVILBLOCK,4x6 34L,AD838_Disp,4999000,5000000,FR1699/FR1819,5,UTL1,TRUE,PE UTL1,PE UTL1,13:09.2,49:15.8,,,
AB000200,ANVILBLOCK,5x6 STM,AD832i_Bond,4999000,5000000,FR6130,0,UTL1,TRUE,PE UTL1,PE UTL1,12:17.1,05:38.5,,,
AB000201,ANVILBLOCK,5x6 STM,AD832i_Disp,4999000,5000000,FR6130,0,UTL1,TRUE,,PE UTL1,07:31.9,07:31.9,,,
AB000202,ANVILBLOCK,5x6 STM,CB_Disp,4999000,5000000,FR6130,0,UTL1,TRUE,,PE UTL1,08:34.8,08:34.8,,,
AB000203,ANVILBLOCK,5x6 STM,AD838_Disp,4999000,5000000,FR6130,0,UTL1,TRUE,,PE UTL1,09:51.7,09:51.7,,,
AB000204,ANVILBLOCK,5x8 34L,AD832i_Bond,4999000,5000000,FR5219,0,UTL1,TRUE,,PE UTL1,25:13.5,25:13.5,,,
AB000205,ANVILBLOCK,5x8 34L,AD838_Disp,4999000,5000000,FR5219,0,UTL1,TRUE,,PE UTL1,26:29.7,26:29.7,,,
AB000206,ANVILBLOCK,5x8 34L,CB_Disp,4999000,5000000,FR5219,0,UTL1,TRUE,,PE UTL1,27:26.2,27:26.2,,,
AB000207,ANVILBLOCK,5x8 34L,AD832i_Disp,4999000,5000000,FR5219,0,UTL1,TRUE,,PE UTL1,28:46.8,28:46.8,,,
AB000208,ANVILBLOCK,3.3x3.3 8L,AD8312FC,4999000,5000000,N/A,0,UTL1,TRUE,,PE UTL1,29:59.7,29:59.7,,,
AB000209,ANVILBLOCK,3.3x3.3 8L,AD832i_Bond,4999000,5000000,N/A,1,UTL1,TRUE,,PE UTL1,31:42.7,31:42.7,,,
AB000210,ANVILBLOCK,3.3x3.3 8L,AD838_Disp,4999000,5000000,N/A,0,UTL1,TRUE,,PE UTL1,33:41.2,33:41.2,,,
AB000211,ANVILBLOCK,3.3x3.3 8L,CB_Disp,4999000,5000000,N/A,0,UTL1,TRUE,,PE UTL1,35:18.0,35:18.0,,,
AB000212,ANVILBLOCK,3.3x3.3 8L,AD832i_Disp,4999000,5000000,N/A,0,UTL1,TRUE,,PE UTL1,36:37.6,36:37.6,,,
AB000213,ANVILBLOCK,6x6 48L,AD8312FC,4999000,5000000,FR1752,1,UTL1,TRUE,PE UTL1,PE UTL1,36:35.7,44:39.3,,,
AB000214,ANVILBLOCK,6x6 48L,AD832i_Dsp,4999000,5000000,FR1752,0,UTL1,TRUE,PE UTL1,PE UTL1,42:00.4,55:50.0,,,
